Data,Kontrakt,Kurs pierwszej transakcji (PLN/MWh),DKR (PLN/MWh),Kurs min. na sesji (PLN/MWh),Kurs maks. na sesji (PLN/MWh),Łączny wolumen obrotu (MWh),Liczba kontraktów,Łączna wartość obrotu (PLN),Liczba transakcji,Łączna liczba otwartych pozycji LOP (MWh)
2025-11-25,PEAK5_Y-26,0,"503,17","503,00","503,50",11 430,3,"5 751 195,00",3,2 895 600
2025-11-25,PEAK5_Y-27,0,"509,00",0,0,0,0,"0,00",0,508 530
2025-11-25,PEAK5_Y-28,0,"491,19",0,0,0,0,"0,00",0,0
2025-11-25,PEAK5_Y-29,0,"512,78",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_W-49-25,0,"598,73",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_W-50-25,0,"598,73",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_W-51-25,0,"598,73",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_W-52-25,0,"615,52",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_W-01-26,0,"596,49",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_M-12-25,0,"602,00","594,00","603,50",14 805,47,"8 875 125,00",30,36 225
2025-11-26,PEAK5_M-01-26,0,"595,50",0,0,0,0,"0,00",0,4200
2025-11-26,PEAK5_M-02-26,0,"576,76",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_M-03-26,0,"473,04",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_M-04-26,0,"431,83",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_M-05-26,0,"409,06",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_Q-1-26,0,"546,00","546,00","546,00",1860,2,"1 015 560,00",2,75 330
2025-11-26,PEAK5_Q-2-26,0,"429,70",0,0,0,0,"0,00",0,1860
2025-11-26,PEAK5_Q-3-26,0,"468,49",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_Q-4-26,0,"581,83",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_Q-1-27,0,"551,73",0,0,0,0,"0,00",0,0
